5	1585.144	1546.871	2440.223	1889.337	1845.355	2248.515	-99	-99	-99	-99	-99
6	573.0277	514.053	717.1927	644.738	444.7747	-99	-99	-99	-99	-99	-99
12	970.965	1259.283	1237.517	892.73	1103.982	1010.267	1016.148	1169.474	945.8792	905.0649	1062.751
15	456.924	478.3143	454.1198	528.0496	524.8113	374.4775	676.9611	-99	-99	-99	-99
16	-99	-99	-99	-99	-99	280.7508	280.7508	-99	-99	-99	-99
18	455.7983	391.1032	357.4599	394.6306	423.6853	399.2955	457.2425	388.9779	492.3754	564.2026	423.9876
19	-99	-99	-99	-99	-99	1686.032	1402.712	1897.981	-99	-99	-99
22	360.1239	358.4995	333.0034	299.9995	388.8798	457.8255	393.8176	401.012	460.0952	433.395	461.9453
24	-99	-99	-99	-99	-99	-99	2191.228	2879.665	2621.843	2250.264	3023.729
27	347.9475	280.7508	370.6917	-99	-99	-99	377.1082	-99	-99	414.4999	467.1691
29	437.2862	525.743	388.3384	456.1929	453.8982	790.7963	449.8489	451.2403	565.7554	501.2552	499.4213
33	478.4423	-99	578.746	580.8026	754.6816	571.6663	640.5827	568.6316	631.0753	481.9666	959.7855
35	-99	-99	-99	-99	-99	-99	-99	-99	1521.218	1795.289	2037.513
37	-99	-99	-99	-99	388.4927	-99	-99	379.7032	379.9781	-99	-99
42	634.2084	825.8635	641.3903	871.2471	896.3336	693.5988	871.1785	739.8997	776.8914	865.9598	1009.682
43	294.8962	280.7508	290.2154	280.7508	280.7508	280.7508	-99	-99	-99	-99	-99
45	712.0277	874.1592	763.6631	750.0752	915.2126	951.265	719.1515	801.3962	878.6506	861.0803	1131.091
46	-99	-99	280.7508	280.7508	280.7508	280.7508	280.7508	280.7508	280.7508	280.7508	-99
53	2213.785	2050.297	2150.405	2678.402	1820.923	-99	-99	-99	-99	-99	-99
55	-99	-99	846.0515	728.3297	-99	-99	-99	-99	-99	-99	-99
61	1031.457	987.1564	675.9266	621.3217	883.7098	908.0715	727.4861	989.2602	877.9201	964.1426	1179.02
62	954.2223	947.2826	958.4092	998.4918	882.8503	990.2343	1194.479	800.1368	1077.421	1201.67	1169.908
64	664.0182	-99	724.1033	763.7601	879.4912	873.3666	-99	-99	-99	-99	-99
67	1791.545	1400.539	1487.132	2000.892	1391.245	1577.1	1807.091	1650.619	1765.002	2002.556	1227.91
68	280.7508	280.7508	280.7508	280.7508	280.7508	306.8482	287.3065	280.7508	297.6636	280.7508	308.3882
69	362.8655	432.3575	-99	-99	-99	-99	-99	-99	-99	-99	-99
70	-99	280.7508	-99	280.7508	280.7508	280.7508	280.7508	-99	-99	-99	-99
