5	374.8539	294.4342	285.7131	217.2945	374.8539	365.9588	-99	-99	-99	-99	-99
6	0	0	0	0	0	-99	-99	-99	-99	-99	-99
12	0	0	0	164.9451	54.9745	25.20425	7.017657	30.59166	107.5572	38.01155	97.20535
15	0	55.11112	0	56.44377	76.05579	27.12754	14.08642	-99	-99	-99	-99
16	-99	-99	-99	-99	-99	10.72193	0	-99	-99	-99	-99
18	26.29125	12.68379	22.39504	.9699803	0	28.32661	0	11.67166	28.55154	0	0
19	-99	-99	-99	-99	-99	361.171	56.57809	41.76902	-99	-99	-99
22	0	27.4836	34.34308	4.08321	67.13024	12.87555	5.520983	32.77777	61.57533	43.75053	0
24	-99	-99	-99	-99	-99	-99	32.44895	0	0	214.0163	0
27	0	0	0	-99	-99	-99	0	-99	-99	0	0
29	15.34619	92.78468	25.35479	0	0	0	0	49.07694	104.4332	63.09659	44.40274
33	106.4352	-99	134.5957	156.1764	110.6509	85.80804	56.71645	68.08837	176.6602	88.17337	60.99075
35	-99	-99	-99	-99	-99	-99	-99	-99	0	0	0
37	-99	-99	-99	-99	30.48704	-99	-99	47.52219	55.66534	-99	-99
42	0	0	0	26.02518	0	0	0	0	0	0	54.39884
43	10.04026	0	0	0	0	8.626758	-99	-99	-99	-99	-99
45	0	0	0	0	8.839143	0	0	0	0	22.00955	0
46	-99	-99	5.775487	0	10.26533	2.302248	21.84812	12.46425	12.34492	12.12114	-99
53	0	178.3327	0	216.6083	0	-99	-99	-99	-99	-99	-99
55	-99	-99	0	0	-99	-99	-99	-99	-99	-99	-99
61	0	0	18.19732	0	1.922121	57.7516	50.60255	0	0	0	0
62	134.011	0	160.48	0	48.03311	87.713	100.5517	31.0083	17.88971	191.3887	207.9557
64	0	-99	82.47166	14.29611	83.95719	0	-99	-99	-99	-99	-99
67	183.9809	0	0	0	41.01704	6.221717	0	0	0	0	0
68	19.7107	0	0	8.51757	7.780109	0	27.90985	1.789987	22.19089	.5701421	.0203486
69	.6398266	0	-99	-99	-99	-99	-99	-99	-99	-99	-99
70	-99	8.647874	-99	4.061695	4.375295	11.80935	5.308403	-99	-99	-99	-99
71	106.4481	64.4248	0	0	0	0	135.7684	0	71.59723	-99	38.71037
72	-99	-99	-99	-99	19.03162	-99	34.86537	0	16.64181	-99	-99
73	75.67525	0	35.8953	-99	-99	-99	-99	-99	-99	-99	-99
